transaction_id,product_id,product_name,category,price,discount_percent,actual_price,quantity,total_amount,seller_name,seller_location,sale_date,sale_month,day_of_week
TRX000001,UMKM00058,Keramik Kasongan,Kerajinan Tangan,311099,5,295544,2,591088,CV Sentosa 17,Surabaya,2025-10-14,2025-10,Tuesday
TRX000002,UMKM00024,Topi Anyaman,Fashion & Pakaian,171166,20,136932,3,410798,CV Prima 28,Bandung,2025-11-03,2025-11,Monday
TRX000003,UMKM00063,Pupuk Organik,Pertanian,176015,5,167214,8,1337714,Toko Sukses 28,Medan,2025-12-27,2025-12,Saturday
TRX000004,UMKM00011,Gula Aren,Makanan & Minuman,42748,0,42748,16,683968,UD Makmur 16,Depok,2025-12-22,2025-12,Monday
TRX000005,UMKM00052,Ukiran Kayu,Kerajinan Tangan,213174,0,213174,2,426348,UD Mandiri 67,Bandung,2025-10-07,2025-10,Tuesday
TRX000006,UMKM00014,Ikan Asin,Makanan & Minuman,67877,25,50907,10,509077,Rumah Maju 82,Yogyakarta,2025-11-24,2025-11,Monday
TRX000007,UMKM00045,Rak Bambu,Rumah Tangga,68224,15,57990,4,231961,Rumah Barokah 17,Tangerang,2025-11-02,2025-11,Sunday
TRX000008,UMKM00007,Kue Lapis,Makanan & Minuman,18972,0,18972,12,227664,Kedai Abadi 12,Tangerang,2026-01-02,2026-01,Friday
TRX000009,UMKM00071,Cuci Motor,Jasa,112745,15,95833,8,766666,CV Barokah 2,Makassar,2025-12-23,2025-12,Tuesday
TRX000010,UMKM00019,Tas Anyaman,Fashion & Pakaian,109622,25,82216,1,82216,Kedai Mandiri 74,Medan,2025-11-14,2025-11,Friday
TRX000011,UMKM00013,Abon Sapi,Makanan & Minuman,64359,10,57923,7,405461,CV Jaya 21,Malang,2025-11-11,2025-11,Tuesday
TRX000012,UMKM00034,Holder HP,Elektronik,299096,15,254231,4,1016926,CV Sentosa 78,Jakarta Pusat,2025-12-04,2025-12,Thursday
TRX000013,UMKM00063,Pupuk Organik,Pertanian,176015,15,149612,5,748063,Toko Sukses 28,Medan,2025-10-29,2025-10,Wednesday
TRX000014,UMKM00032,Kipas Mini,Elektronik,453962,20,363169,2,726339,Rumah Barokah 30,Tangerang,2025-11-04,2025-11,Tuesday
TRX000015,UMKM00025,Gelang Etnik,Fashion & Pakaian,180049,0,180049,5,900245,Warung Sejahtera 27,Makassar,2026-01-03,2026-01,Saturday
TRX000016,UMKM00014,Ikan Asin,Makanan & Minuman,67877,5,64483,10,644831,Rumah Maju 82,Yogyakarta,2025-11-30,2025-11,Sunday
TRX000017,UMKM00045,Rak Bambu,Rumah Tangga,68224,0,68224,7,477568,Rumah Barokah 17,Tangerang,2025-12-05,2025-12,Friday
TRX000018,UMKM00005,Dodol Garut,Makanan & Minuman,25950,10,23355,4,93420,Kedai Maju 54,Depok,2025-12-11,2025-12,Thursday
TRX000019,UMKM00030,Powerbank Lokal,Elektronik,363722,25,272791,3,818374,Kedai Jaya 68,Malang,2025-10-09,2025-10,Thursday
TRX000020,UMKM00021,Kaos Distro,Fashion & Pakaian,473857,0,473857,3,1421571,Rumah Prima 51,Makassar,2025-10-11,2025-10,Saturday
TRX000021,UMKM00025,Gelang Etnik,Fashion & Pakaian,180049,20,144039,1,144039,Warung Sejahtera 27,Makassar,2025-11-27,2025-11,Thursday
TRX000022,UMKM00011,Gula Aren,Makanan & Minuman,42748,25,32061,19,609159,UD Makmur 16,Depok,2025-11-30,2025-11,Sunday
TRX000023,UMKM00072,Potong Rambut,Jasa,158921,20,127136,8,1017094,Kedai Barokah 46,Yogyakarta,2025-12-20,2025-12,Saturday
TRX000024,UMKM00035,Sabun Herbal,Kesehatan & Kecantikan,107444,5,102071,5,510358,Rumah Barokah 92,Solo,2026-01-01,2026-01,Thursday
TRX000025,UMKM00014,Ikan Asin,Makanan & Minuman,67877,0,67877,10,678770,Rumah Maju 82,Yogyakarta,2025-12-14,2025-12,Sunday
TRX000026,UMKM00067,Jasa Jahit,Jasa,52802,5,50161,8,401295,Gerai Prima 60,Jakarta Pusat,2025-10-17,2025-10,Friday
TRX000027,UMKM00074,Warnet,Jasa,158395,0,158395,3,475185,Gerai Abadi 17,Makassar,2025-10-12,2025-10,Sunday
TRX000028,UMKM00036,Minyak Kayu Putih,Kesehatan & Kecantikan,223474,10,201126,2,402253,CV Jaya 8,Bogor,2025-10-27,2025-10,Monday
TRX000029,UMKM00028,Kabel Data,Elektronik,187037,25,140277,9,1262499,UD Sentosa 59,Tangerang,2025-12-29,2025-12,Monday
TRX000030,UMKM00014,Ikan Asin,Makanan & Minuman,67877,25,50907,9,458169,Rumah Maju 82,Yogyakarta,2025-11-20,2025-11,Thursday
TRX000031,UMKM00064,Bibit Tanaman,Pertanian,106896,15,90861,5,454307,Toko Makmur 47,Tangerang,2025-10-23,2025-10,Thursday
TRX000032,UMKM00072,Potong Rambut,Jasa,158921,0,158921,1,158921,Kedai Barokah 46,Yogyakarta,2025-12-21,2025-12,Sunday
TRX000033,UMKM00066,Santan Instan,Pertanian,94443,15,80276,6,481659,Kedai Gemilang 82,Bandung,2025-10-25,2025-10,Saturday
TRX000034,UMKM00060,Sayur Hidroponik,Pertanian,179698,0,179698,1,179698,Toko Maju 5,Bandung,2025-10-08,2025-10,Wednesday
TRX000035,UMKM00004,Rendang Padang,Makanan & Minuman,95438,0,95438,8,763504,UD Jaya 75,Semarang,2025-11-02,2025-11,Sunday
TRX000036,UMKM00009,Jamu Tradisional,Makanan & Minuman,17390,20,13912,5,69560,Rumah Jaya 9,Palembang,2025-10-08,2025-10,Wednesday
TRX000037,UMKM00050,Taplak Meja Batik,Rumah Tangga,54577,0,54577,4,218308,Warung Abadi 37,Solo,2026-01-05,2026-01,Monday
TRX000038,UMKM00046,Tikar Pandan,Rumah Tangga,232355,0,232355,1,232355,Gerai Barokah 3,Makassar,2025-10-13,2025-10,Monday
TRX000039,UMKM00054,Lukisan Kaca,Kerajinan Tangan,76238,5,72426,10,724260,Toko Sejahtera 7,Bandung,2025-12-02,2025-12,Tuesday
TRX000040,UMKM00031,Lampu LED,Elektronik,346956,0,346956,3,1040868,Kedai Sukses 62,Semarang,2025-11-10,2025-11,Monday
TRX000041,UMKM00071,Cuci Motor,Jasa,112745,25,84558,4,338235,CV Barokah 2,Makassar,2025-10-30,2025-10,Thursday
TRX000042,UMKM00055,Tas Rajut,Kerajinan Tangan,369080,10,332172,2,664344,Gerai Maju 84,Jakarta Pusat,2026-01-02,2026-01,Friday
TRX000043,UMKM00040,Minyak Kemiri,Kesehatan & Kecantikan,88468,0,88468,6,530808,CV Sejahtera 1,Bogor,2025-10-19,2025-10,Sunday
TRX000044,UMKM00047,Tempat Sampah,Rumah Tangga,116707,5,110871,5,554358,Gerai Mandiri 91,Semarang,2025-12-14,2025-12,Sunday
TRX000045,UMKM00007,Kue Lapis,Makanan & Minuman,18972,15,16126,7,112883,Kedai Abadi 12,Tangerang,2025-11-24,2025-11,Monday
TRX000046,UMKM00052,Ukiran Kayu,Kerajinan Tangan,213174,5,202515,5,1012576,UD Mandiri 67,Bandung,2025-12-14,2025-12,Sunday
TRX000047,UMKM00023,Sandal Jepit,Fashion & Pakaian,81773,0,81773,6,490638,Rumah Abadi 90,Jakarta Selatan,2025-11-03,2025-11,Monday
TRX000048,UMKM00020,Sepatu Kulit,Fashion & Pakaian,492844,0,492844,4,1971376,Kedai Gemilang 19,Depok,2025-11-27,2025-11,Thursday
TRX000049,UMKM00065,Minyak Kelapa,Pertanian,152291,10,137061,1,137061,Gerai Maju 39,Jakarta Selatan,2025-12-28,2025-12,Sunday
TRX000050,UMKM00032,Kipas Mini,Elektronik,453962,15,385867,1,385867,Rumah Barokah 30,Tangerang,2025-12-07,2025-12,Sunday
TRX000051,UMKM00068,Laundry Kiloan,Jasa,245880,10,221292,3,663876,Rumah Barokah 70,Tangerang,2025-12-18,2025-12,Thursday
TRX000052,UMKM00019,Tas Anyaman,Fashion & Pakaian,109622,0,109622,7,767354,Kedai Mandiri 74,Medan,2025-11-15,2025-11,Saturday
TRX000053,UMKM00016,Tenun Ikat,Fashion & Pakaian,660332,25,495249,3,1485747,Gerai Gemilang 59,Bandung,2025-12-29,2025-12,Monday
TRX000054,UMKM00026,Kalung Mutiara,Fashion & Pakaian,428940,20,343152,4,1372608,Gerai Barokah 7,Tangerang,2025-12-01,2025-12,Monday
TRX000055,UMKM00001,Keripik Singkong,Makanan & Minuman,148081,0,148081,9,1332729,Rumah Makmur 18,Bogor,2025-12-17,2025-12,Wednesday
TRX000056,UMKM00014,Ikan Asin,Makanan & Minuman,67877,25,50907,5,254538,Rumah Maju 82,Yogyakarta,2025-12-31,2025-12,Wednesday
TRX000057,UMKM00041,Bedak Dingin,Kesehatan & Kecantikan,108640,25,81480,3,244440,Toko Berkah 71,Jakarta Pusat,2025-12-17,2025-12,Wednesday
TRX000058,UMKM00025,Gelang Etnik,Fashion & Pakaian,180049,10,162044,3,486132,Warung Sejahtera 27,Makassar,2025-11-28,2025-11,Friday
TRX000059,UMKM00054,Lukisan Kaca,Kerajinan Tangan,76238,25,57178,8,457428,Toko Sejahtera 7,Bandung,2025-11-20,2025-11,Thursday
TRX000060,UMKM00029,Earphone Murah,Elektronik,97243,25,72932,3,218796,Rumah Barokah 51,Denpasar,2025-12-28,2025-12,Sunday
TRX000061,UMKM00006,Bakpia Jogja,Makanan & Minuman,66552,5,63224,6,379346,Toko Sejahtera 18,Palembang,2025-12-30,2025-12,Tuesday
TRX000062,UMKM00045,Rak Bambu,Rumah Tangga,68224,10,61401,6,368409,Rumah Barokah 17,Tangerang,2025-11-06,2025-11,Thursday
TRX000063,UMKM00059,Beras Organik,Pertanian,201364,25,151023,4,604092,Kedai Abadi 57,Jakarta Selatan,2025-10-22,2025-10,Wednesday
TRX000064,UMKM00002,Sambal Bu Rudy,Makanan & Minuman,59633,20,47706,4,190825,UD Maju 27,Jakarta Selatan,2025-12-20,2025-12,Saturday
TRX000065,UMKM00050,Taplak Meja Batik,Rumah Tangga,54577,0,54577,10,545770,Warung Abadi 37,Solo,2025-11-28,2025-11,Friday
TRX000066,UMKM00035,Sabun Herbal,Kesehatan & Kecantikan,107444,15,91327,1,91327,Rumah Barokah 92,Solo,2026-01-03,2026-01,Saturday
TRX000067,UMKM00036,Minyak Kayu Putih,Kesehatan & Kecantikan,223474,5,212300,5,1061501,CV Jaya 8,Bogor,2025-10-28,2025-10,Tuesday
TRX000068,UMKM00056,Boneka Kayu,Kerajinan Tangan,310551,10,279495,2,558991,Rumah Prima 26,Bekasi,2025-12-18,2025-12,Thursday
TRX000069,UMKM00052,Ukiran Kayu,Kerajinan Tangan,213174,0,213174,3,639522,UD Mandiri 67,Bandung,2025-11-14,2025-11,Friday
TRX000070,UMKM00008,Teh Pucuk,Makanan & Minuman,19745,20,15796,8,126368,Toko Sentosa 3,Solo,2025-11-08,2025-11,Saturday
TRX000071,UMKM00067,Jasa Jahit,Jasa,52802,10,47521,3,142565,Gerai Prima 60,Jakarta Pusat,2025-12-05,2025-12,Friday
TRX000072,UMKM00004,Rendang Padang,Makanan & Minuman,95438,5,90666,3,271998,UD Jaya 75,Semarang,2025-11-19,2025-11,Wednesday
TRX000073,UMKM00065,Minyak Kelapa,Pertanian,152291,20,121832,6,730996,Gerai Maju 39,Jakarta Selatan,2025-12-30,2025-12,Tuesday
TRX000074,UMKM00047,Tempat Sampah,Rumah Tangga,116707,10,105036,7,735254,Gerai Mandiri 91,Semarang,2025-11-05,2025-11,Wednesday
TRX000075,UMKM00024,Topi Anyaman,Fashion & Pakaian,171166,10,154049,10,1540494,CV Prima 28,Bandung,2025-11-20,2025-11,Thursday
TRX000076,UMKM00049,Keset Kaki,Rumah Tangga,203513,0,203513,1,203513,Toko Gemilang 28,Semarang,2025-12-03,2025-12,Wednesday
TRX000077,UMKM00068,Laundry Kiloan,Jasa,245880,25,184410,2,368820,Rumah Barokah 70,Tangerang,2025-12-18,2025-12,Thursday
TRX000078,UMKM00004,Rendang Padang,Makanan & Minuman,95438,15,81122,2,162244,UD Jaya 75,Semarang,2025-10-16,2025-10,Thursday
TRX000079,UMKM00033,Speaker Bluetooth,Elektronik,418685,25,314013,3,942041,Toko Sukses 71,Denpasar,2025-12-25,2025-12,Thursday
TRX000080,UMKM00023,Sandal Jepit,Fashion & Pakaian,81773,0,81773,3,245319,Rumah Abadi 90,Jakarta Selatan,2025-11-01,2025-11,Saturday
TRX000081,UMKM00028,Kabel Data,Elektronik,187037,15,158981,1,158981,UD Sentosa 59,Tangerang,2025-12-18,2025-12,Thursday
TRX000082,UMKM00034,Holder HP,Elektronik,299096,0,299096,4,1196384,CV Sentosa 78,Jakarta Pusat,2025-11-05,2025-11,Wednesday
TRX000083,UMKM00039,Shampoo Lidah Buaya,Kesehatan & Kecantikan,162650,0,162650,8,1301200,Kedai Gemilang 56,Denpasar,2025-12-14,2025-12,Sunday
TRX000084,UMKM00023,Sandal Jepit,Fashion & Pakaian,81773,0,81773,1,81773,Rumah Abadi 90,Jakarta Selatan,2025-12-27,2025-12,Saturday
TRX000085,UMKM00059,Beras Organik,Pertanian,201364,0,201364,1,201364,Kedai Abadi 57,Jakarta Selatan,2026-01-05,2026-01,Monday
TRX000086,UMKM00010,Madu Hutan,Makanan & Minuman,143348,15,121845,8,974766,Rumah Jaya 19,Solo,2025-12-26,2025-12,Friday
TRX000087,UMKM00054,Lukisan Kaca,Kerajinan Tangan,76238,10,68614,3,205842,Toko Sejahtera 7,Bandung,2025-12-15,2025-12,Monday
TRX000088,UMKM00061,Buah Lokal,Pertanian,145908,10,131317,6,787903,Kedai Makmur 46,Yogyakarta,2025-10-10,2025-10,Friday
TRX000089,UMKM00010,Madu Hutan,Makanan & Minuman,143348,0,143348,3,430044,Rumah Jaya 19,Solo,2025-11-08,2025-11,Saturday
TRX000090,UMKM00067,Jasa Jahit,Jasa,52802,25,39601,9,356413,Gerai Prima 60,Jakarta Pusat,2025-11-02,2025-11,Sunday
TRX000091,UMKM00025,Gelang Etnik,Fashion & Pakaian,180049,0,180049,6,1080294,Warung Sejahtera 27,Makassar,2025-10-09,2025-10,Thursday
TRX000092,UMKM00003,Kopi Toraja,Makanan & Minuman,26775,20,21420,5,107100,Warung Sukses 90,Semarang,2025-10-29,2025-10,Wednesday
TRX000093,UMKM00067,Jasa Jahit,Jasa,52802,10,47521,5,237609,Gerai Prima 60,Jakarta Pusat,2025-11-27,2025-11,Thursday
TRX000094,UMKM00029,Earphone Murah,Elektronik,97243,5,92380,10,923808,Rumah Barokah 51,Denpasar,2025-11-20,2025-11,Thursday
TRX000095,UMKM00046,Tikar Pandan,Rumah Tangga,232355,15,197501,5,987508,Gerai Barokah 3,Makassar,2026-01-01,2026-01,Thursday
TRX000096,UMKM00058,Keramik Kasongan,Kerajinan Tangan,311099,5,295544,4,1182176,CV Sentosa 17,Surabaya,2026-01-03,2026-01,Saturday
TRX000097,UMKM00011,Gula Aren,Makanan & Minuman,42748,15,36335,16,581372,UD Makmur 16,Depok,2025-12-22,2025-12,Monday
TRX000098,UMKM00037,Masker Wajah,Kesehatan & Kecantikan,93789,20,75031,5,375156,CV Prima 48,Palembang,2025-11-04,2025-11,Tuesday
TRX000099,UMKM00050,Taplak Meja Batik,Rumah Tangga,54577,20,43661,1,43661,Warung Abadi 37,Solo,2025-12-21,2025-12,Sunday
TRX000100,UMKM00018,Sarung Samarinda,Fashion & Pakaian,392284,0,392284,5,1961420,Toko Gemilang 39,Malang,2025-11-08,2025-11,Saturday
TRX000101,UMKM00027,Charger Universal,Elektronik,337885,10,304096,4,1216386,Rumah Jaya 57,Denpasar,2025-11-14,2025-11,Friday
TRX000102,UMKM00074,Warnet,Jasa,158395,20,126716,8,1013728,Gerai Abadi 17,Makassar,2025-11-08,2025-11,Saturday
TRX000103,UMKM00074,Warnet,Jasa,158395,20,126716,2,253432,Gerai Abadi 17,Makassar,2025-10-16,2025-10,Thursday
TRX000104,UMKM00028,Kabel Data,Elektronik,187037,0,187037,4,748148,UD Sentosa 59,Tangerang,2025-12-23,2025-12,Tuesday
TRX000105,UMKM00045,Rak Bambu,Rumah Tangga,68224,0,68224,1,68224,Rumah Barokah 17,Tangerang,2025-11-13,2025-11,Thursday
TRX000106,UMKM00037,Masker Wajah,Kesehatan & Kecantikan,93789,20,75031,10,750312,CV Prima 48,Palembang,2025-11-18,2025-11,Tuesday
TRX000107,UMKM00011,Gula Aren,Makanan & Minuman,42748,10,38473,16,615571,UD Makmur 16,Depok,2025-12-04,2025-12,Thursday
TRX000108,UMKM00053,Patung Bali,Kerajinan Tangan,484960,20,387968,1,387968,Toko Mandiri 1,Palembang,2026-01-03,2026-01,Saturday
TRX000109,UMKM00037,Masker Wajah,Kesehatan & Kecantikan,93789,5,89099,5,445497,CV Prima 48,Palembang,2025-12-23,2025-12,Tuesday
TRX000110,UMKM00045,Rak Bambu,Rumah Tangga,68224,10,61401,2,122803,Rumah Barokah 17,Tangerang,2025-12-03,2025-12,Wednesday
TRX000111,UMKM00053,Patung Bali,Kerajinan Tangan,484960,0,484960,5,2424800,Toko Mandiri 1,Palembang,2025-12-21,2025-12,Sunday
TRX000112,UMKM00008,Teh Pucuk,Makanan & Minuman,19745,10,17770,13,231016,Toko Sentosa 3,Solo,2025-11-25,2025-11,Tuesday
TRX000113,UMKM00004,Rendang Padang,Makanan & Minuman,95438,15,81122,10,811223,UD Jaya 75,Semarang,2025-10-08,2025-10,Wednesday
TRX000114,UMKM00042,Lipstik Lokal,Kesehatan & Kecantikan,177422,20,141937,5,709688,CV Barokah 74,Solo,2025-10-16,2025-10,Thursday
TRX000115,UMKM00074,Warnet,Jasa,158395,10,142555,2,285111,Gerai Abadi 17,Makassar,2025-11-02,2025-11,Sunday
TRX000116,UMKM00068,Laundry Kiloan,Jasa,245880,5,233586,1,233586,Rumah Barokah 70,Tangerang,2025-10-15,2025-10,Wednesday
TRX000117,UMKM00033,Speaker Bluetooth,Elektronik,418685,5,397750,2,795501,Toko Sukses 71,Denpasar,2025-11-11,2025-11,Tuesday
TRX000118,UMKM00036,Minyak Kayu Putih,Kesehatan & Kecantikan,223474,20,178779,2,357558,CV Jaya 8,Bogor,2025-10-08,2025-10,Wednesday
TRX000119,UMKM00019,Tas Anyaman,Fashion & Pakaian,109622,0,109622,4,438488,Kedai Mandiri 74,Medan,2025-11-10,2025-11,Monday
TRX000120,UMKM00046,Tikar Pandan,Rumah Tangga,232355,5,220737,2,441474,Gerai Barokah 3,Makassar,2025-11-03,2025-11,Monday
TRX000121,UMKM00002,Sambal Bu Rudy,Makanan & Minuman,59633,15,50688,2,101376,UD Maju 27,Jakarta Selatan,2026-01-03,2026-01,Saturday
TRX000122,UMKM00024,Topi Anyaman,Fashion & Pakaian,171166,5,162607,2,325215,CV Prima 28,Bandung,2025-12-11,2025-12,Thursday
TRX000123,UMKM00014,Ikan Asin,Makanan & Minuman,67877,20,54301,9,488714,Rumah Maju 82,Yogyakarta,2025-12-20,2025-12,Saturday
TRX000124,UMKM00005,Dodol Garut,Makanan & Minuman,25950,15,22057,2,44115,Kedai Maju 54,Depok,2025-11-18,2025-11,Tuesday
TRX000125,UMKM00011,Gula Aren,Makanan & Minuman,42748,20,34198,12,410380,UD Makmur 16,Depok,2025-11-16,2025-11,Sunday
TRX000126,UMKM00013,Abon Sapi,Makanan & Minuman,64359,0,64359,5,321795,CV Jaya 21,Malang,2026-01-01,2026-01,Thursday
TRX000127,UMKM00020,Sepatu Kulit,Fashion & Pakaian,492844,15,418917,1,418917,Kedai Gemilang 19,Depok,2025-10-20,2025-10,Monday
TRX000128,UMKM00003,Kopi Toraja,Makanan & Minuman,26775,25,20081,5,100406,Warung Sukses 90,Semarang,2025-10-28,2025-10,Tuesday
TRX000129,UMKM00008,Teh Pucuk,Makanan & Minuman,19745,0,19745,11,217195,Toko Sentosa 3,Solo,2025-11-10,2025-11,Monday
TRX000130,UMKM00035,Sabun Herbal,Kesehatan & Kecantikan,107444,10,96699,2,193399,Rumah Barokah 92,Solo,2025-11-09,2025-11,Sunday
TRX000131,UMKM00067,Jasa Jahit,Jasa,52802,20,42241,6,253449,Gerai Prima 60,Jakarta Pusat,2025-12-16,2025-12,Tuesday
TRX000132,UMKM00025,Gelang Etnik,Fashion & Pakaian,180049,0,180049,7,1260343,Warung Sejahtera 27,Makassar,2025-11-09,2025-11,Sunday
TRX000133,UMKM00046,Tikar Pandan,Rumah Tangga,232355,5,220737,3,662211,Gerai Barokah 3,Makassar,2025-11-03,2025-11,Monday
TRX000134,UMKM00021,Kaos Distro,Fashion & Pakaian,473857,10,426471,4,1705885,Rumah Prima 51,Makassar,2026-01-04,2026-01,Sunday
TRX000135,UMKM00039,Shampoo Lidah Buaya,Kesehatan & Kecantikan,162650,5,154517,8,1236140,Kedai Gemilang 56,Denpasar,2025-12-10,2025-12,Wednesday
TRX000136,UMKM00004,Rendang Padang,Makanan & Minuman,95438,0,95438,4,381752,UD Jaya 75,Semarang,2025-11-30,2025-11,Sunday
TRX000137,UMKM00029,Earphone Murah,Elektronik,97243,20,77794,5,388972,Rumah Barokah 51,Denpasar,2025-10-27,2025-10,Monday
TRX000138,UMKM00061,Buah Lokal,Pertanian,145908,5,138612,5,693063,Kedai Makmur 46,Yogyakarta,2025-10-08,2025-10,Wednesday
TRX000139,UMKM00001,Keripik Singkong,Makanan & Minuman,148081,15,125868,8,1006950,Rumah Makmur 18,Bogor,2025-10-30,2025-10,Thursday
TRX000140,UMKM00064,Bibit Tanaman,Pertanian,106896,0,106896,8,855168,Toko Makmur 47,Tangerang,2025-11-11,2025-11,Tuesday
TRX000141,UMKM00036,Minyak Kayu Putih,Kesehatan & Kecantikan,223474,0,223474,2,446948,CV Jaya 8,Bogor,2025-11-30,2025-11,Sunday
TRX000142,UMKM00072,Potong Rambut,Jasa,158921,5,150974,6,905849,Kedai Barokah 46,Yogyakarta,2025-12-18,2025-12,Thursday
TRX000143,UMKM00045,Rak Bambu,Rumah Tangga,68224,0,68224,8,545792,Rumah Barokah 17,Tangerang,2025-10-30,2025-10,Thursday
TRX000144,UMKM00061,Buah Lokal,Pertanian,145908,15,124021,3,372065,Kedai Makmur 46,Yogyakarta,2025-10-13,2025-10,Monday
TRX000145,UMKM00023,Sandal Jepit,Fashion & Pakaian,81773,0,81773,5,408865,Rumah Abadi 90,Jakarta Selatan,2025-11-13,2025-11,Thursday
TRX000146,UMKM00071,Cuci Motor,Jasa,112745,5,107107,4,428431,CV Barokah 2,Makassar,2025-10-08,2025-10,Wednesday
TRX000147,UMKM00061,Buah Lokal,Pertanian,145908,15,124021,2,248043,Kedai Makmur 46,Yogyakarta,2025-12-11,2025-12,Thursday
TRX000148,UMKM00050,Taplak Meja Batik,Rumah Tangga,54577,0,54577,5,272885,Warung Abadi 37,Solo,2025-10-28,2025-10,Tuesday
TRX000149,UMKM00037,Masker Wajah,Kesehatan & Kecantikan,93789,20,75031,4,300124,CV Prima 48,Palembang,2025-10-13,2025-10,Monday
TRX000150,UMKM00060,Sayur Hidroponik,Pertanian,179698,0,179698,1,179698,Toko Maju 5,Bandung,2025-10-20,2025-10,Monday
TRX000151,UMKM00073,Fotocopy,Jasa,142492,5,135367,8,1082939,Gerai Abadi 59,Makassar,2025-11-25,2025-11,Tuesday
TRX000152,UMKM00050,Taplak Meja Batik,Rumah Tangga,54577,0,54577,7,382039,Warung Abadi 37,Solo,2025-12-24,2025-12,Wednesday
TRX000153,UMKM00029,Earphone Murah,Elektronik,97243,25,72932,9,656390,Rumah Barokah 51,Denpasar,2026-01-02,2026-01,Friday
TRX000154,UMKM00050,Taplak Meja Batik,Rumah Tangga,54577,20,43661,8,349292,Warung Abadi 37,Solo,2025-10-27,2025-10,Monday
TRX000155,UMKM00055,Tas Rajut,Kerajinan Tangan,369080,0,369080,1,369080,Gerai Maju 84,Jakarta Pusat,2025-12-23,2025-12,Tuesday
TRX000156,UMKM00064,Bibit Tanaman,Pertanian,106896,10,96206,2,192412,Toko Makmur 47,Tangerang,2025-11-10,2025-11,Monday
TRX000157,UMKM00062,Rempah Segar,Pertanian,103659,25,77744,8,621954,UD Prima 18,Bekasi,2025-12-11,2025-12,Thursday
TRX000158,UMKM00063,Pupuk Organik,Pertanian,176015,5,167214,7,1170499,Toko Sukses 28,Medan,2025-11-15,2025-11,Saturday
TRX000159,UMKM00045,Rak Bambu,Rumah Tangga,68224,10,61401,8,491212,Rumah Barokah 17,Tangerang,2025-12-03,2025-12,Wednesday
TRX000160,UMKM00061,Buah Lokal,Pertanian,145908,10,131317,5,656586,Kedai Makmur 46,Yogyakarta,2025-10-30,2025-10,Thursday
TRX000161,UMKM00018,Sarung Samarinda,Fashion & Pakaian,392284,0,392284,4,1569136,Toko Gemilang 39,Malang,2025-10-30,2025-10,Thursday
TRX000162,UMKM00051,Wayang Kulit,Kerajinan Tangan,970631,15,825036,5,4125181,Gerai Berkah 33,Jakarta Selatan,2025-10-30,2025-10,Thursday
TRX000163,UMKM00070,Service HP,Jasa,148194,20,118555,1,118555,Gerai Berkah 39,Makassar,2025-12-09,2025-12,Tuesday
TRX000164,UMKM00015,Batik Pekalongan,Fashion & Pakaian,618292,0,618292,4,2473168,CV Mandiri 14,Depok,2025-12-28,2025-12,Sunday
TRX000165,UMKM00017,Kebaya Modern,Fashion & Pakaian,405398,10,364858,4,1459432,Toko Maju 40,Malang,2025-12-05,2025-12,Friday
